date	MGHZ
19960423	1.00
19960424	1.00
19960425	1.00
19960426	1.00
19960427	1.00
19960428	1.00
19960429	1.00
19960430	1.00
19960501	1.00
19960502	1.00
19960503	1.00
19960504	1.00
19960505	1.00
19960506	1.00
19960507	1.00
19960508	1.00
19960509	1.00
19960510	1.00
19960511	1.00
19960512	1.00
19960513	0.99
19960514	1.00
19960515	1.00
19960516	1.00
19960517	1.00
19960518	1.00
19960519	1.00
19960520	1.00
19960521	1.00
19960522	1.00
19960523	1.00
19960524	1.00
19960525	1.00
19960526	1.00
19960527	1.00
19960528	1.00
19960529	1.00
19960530	1.00
19960531	1.00
19960601	1.00
19960602	1.00
19960603	1.00
19960604	0.99
19960605	1.00
19960606	1.00
19960607	1.00
19960608	1.00
19960609	1.00
19960610	1.00
19960611	1.00
19960612	1.00
19960613	1.00
19960614	1.00
19960615	1.00
19960616	1.00
19960617	1.00
19960618	1.00
19960619	1.00
19960620	1.00
19960621	1.00
19960622	1.00
19960623	1.00
19960624	1.00
19960625	0.96
19960626	1.00
19960627	1.00
19960628	1.00
19960629	1.00
19960630	1.00
19960701	1.00
19960702	1.00
19960703	1.00
19960704	1.00
19960705	1.00
19960706	1.00
19960707	1.00
19960708	1.00
19960709	1.00
19960710	0.95
19960711	0.96
19960712	0.90
19960713	0.99
19960714	1.00
19960715	1.00
19960716	1.00
19960717	1.00
19960718	1.00
19960719	1.00
19960720	1.00
19960721	1.00
19960722	1.00
19960723	0.99
19960724	1.00
19960725	1.00
19960726	1.00
19960727	1.00
19960728	1.00
19960729	1.00
19960730	1.00
19960731	1.00
19960801	1.00
19960802	1.00
19960803	1.00
19960804	1.00
19960805	0.95
19960806	1.00
19960807	1.00
19960808	1.00
19960809	1.00
19960810	1.00
19960811	1.00
19960812	1.00
19960813	1.00
19960814	1.00
19960815	0.99
19960816	0.99
19960817	1.00
19960818	0.98
19960819	1.00
19960820	1.00
19960821	1.00
19960822	1.00
19960823	1.00
19960824	1.00
19960825	1.00
19960826	1.00
19960827	1.00
19960828	1.00
19960829	1.00
19960830	1.00
19960831	1.00
19960901	1.00
19960902	1.00
19960903	0.94
19960904	1.00
19960905	0.99
19960906	1.00
19960907	1.00
19960908	0.97
19960909	1.00
19960910	1.00
19960911	1.00
19960912	1.00
19960913	1.00
19960914	1.00
19960915	1.00
19960916	0.98
19960917	0.97
19960918	0.99
19960919	1.00
19960920	0.99
19960921	1.00
19960922	1.00
19960923	1.00
19960924	1.00
19960925	1.00
19960926	0.99
19960927	1.00
19960928	0.99
19960929	1.00
19960930	1.00
19961001	0.98
19961002	1.00
19961003	1.00
19961004	1.00
19961005	1.00
19961006	1.00
19961007	1.00
19961008	1.00
19961009	0.98
19961010	1.00
19961011	1.00
19961012	1.00
19961013	1.00
19961014	1.00
19961015	1.00
19961016	1.00
19961017	1.00
19961018	1.00
19961019	1.00
19961020	1.00
19961021	1.00
19961022	1.00
19961023	1.00
19961024	1.00
19961025	1.00
19961026	1.00
19961027	1.00
19961028	1.00
19961029	1.00
19961030	1.00
19961031	1.00
19961101	1.00
19961102	1.00
19961103	1.00
19961104	1.00
19961105	0.99
19961106	1.00
19961107	1.00
19961108	1.00
19961109	1.00
19961110	1.00
19961111	1.00
19961112	1.00
19961113	1.00
19961114	1.00
19961115	1.00
19961116	1.00
19961117	1.00
19961118	1.00
19961119	1.00
19961120	1.00
19961121	1.00
19961122	1.00
19961123	1.00
19961124	1.00
19961125	1.00
19961126	0.98
19961127	1.00
19961128	1.00
19961129	1.00
19961130	1.00
19961201	1.00
19961202	1.00
19961203	1.00
19961204	1.00
19961205	1.00
19961206	1.00
19961207	1.00
19961208	1.00
19961209	1.00
19961210	1.00
19961211	1.00
19961212	1.00
19961213	1.00
19961214	1.00
19961215	1.00
19961216	1.00
19961217	1.00
19961218	1.00
19961219	0.99
19961220	1.00
19961221	1.00
19961222	0.99
19961223	1.00
19961224	1.00
19961225	1.00
19961226	1.00
19961227	1.00
19961228	1.00
19961229	1.00
19961230	1.00
19961231	1.00
19970101	0.61
19970102	0.60
19970103	0.66
19970104	0.72
19970105	0.53
19970106	0.58
19970107	0.78
19970108	0.78
19970109	0.79
19970110	0.60
19970111	0.52
19970112	0.35
19970113	0.49
19970114	0.54
19970115	0.22
19970116	0.23
19970117	0.17
19970118	0.28
19970119	0.25
19970120	0.40
19970121	0.30
19970122	0.27
19970123	0.30
19970124	0.28
19970125	0.34
19970126	0.32
19970127	0.45
19970128	0.30
19970129	0.37
19970130	0.44
19970131	0.35
19970201	0.51
19970202	0.65
19970203	0.55
19970204	0.51
19970205	0.49
19970206	0.36
19970207	0.42
19970208	0.47
19970209	0.45
19970210	0.45
19970211	0.54
19970212	0.56
19970213	0.53
19970214	0.56
19970215	0.47
19970216	0.55
19970217	0.47
19970218	0.49
19970219	0.53
19970220	0.60
19970221	0.59
19970222	0.44
19970223	0.53
19970224	0.32
19970225	0.43
19970226	0.42
19970227	0.51
19970228	0.40
19970301	0.65
19970302	0.61
19970303	0.37
19970304	0.37
19970305	0.33
19970306	0.37
19970307	0.28
19970308	0.24
19970309	0.36
19970310	0.50
19970311	0.45
19970312	0.27
19970313	0.33
19970314	0.60
19970315	0.19
19970316	0.15
19970317	0.51
19970318	0.42
19970319	0.44
19970320	0.22
19970321	0.28
19970322	0.41
19970323	0.38
19970324	0.31
19970325	0.31
19970326	0.38
19970327	0.51
19970328	0.32
19970329	0.29
19970330	0.51
19970331	0.49
19970401	0.62
19970402	0.45
19970403	0.51
19970404	0.97
19970405	0.92
19970406	0.61
19970407	0.42
19970408	0.30
19970409	0.27
19970410	0.27
19970411	0.38
19970412	0.47
19970413	0.26
19970414	0.28
19970415	0.44
19970416	0.37
19970417	0.35
19970418	0.51
19970419	0.25
19970420	0.24
19970421	0.27
19970422	0.54
19970423	0.50
19970424	0.61
19970425	0.37
19970426	0.28
19970427	0.28
19970428	0.25
19970429	0.12
19970430	0.20
19970501	0.24
19970502	0.20
19970503	0.28
19970504	0.17
19970505	0.31
19970506	0.40
19970507	0.16
19970508	0.28
19970509	0.15
19970510	0.16
19970511	0.24
19970512	0.28
19970513	0.35
19970514	0.39
19970515	0.28
19970516	0.32
19970517	0.42
19970518	0.43
19970519	0.41
19970520	0.67
19970521	0.50
19970522	0.49
19970523	0.50
19970524	0.51
19970525	0.42
19970526	0.31
19970527	0.53
19970528	0.43
19970529	0.41
19970530	0.34
19970531	0.41
19970601	0.53
19970602	0.46
19970603	0.37
19970604	0.50
19970605	0.54
19970606	0.39
19970607	0.49
19970608	0.46
19970609	0.57
19970610	0.57
19970611	0.52
19970612	0.60
19970613	0.42
19970614	0.36
19970615	0.69
19970616	0.62
19970617	0.72
19970618	0.73
19970619	0.56
19970620	0.70
19970621	0.62
19970622	0.73
19970623	0.75
19970624	0.75
19970625	0.76
19970626	0.69
19970627	0.62
19970628	0.66
19970629	0.78
19970630	0.83
19970701	0.54
19970702	0.75
19970703	0.78
19970704	0.47
19970705	0.53
19970706	0.40
19970707	0.57
19970708	0.34
19970709	0.49
19970710	0.32
19970711	0.55
19970712	0.80
19970713	0.58
19970714	0.35
19970715	0.42
19970716	0.28
19970717	0.20
19970718	0.31
19970719	0.49
19970720	0.37
19970721	0.51
19970722	0.22
19970723	0.31
19970724	0.28
19970725	0.38
19970726	0.52
19970727	0.33
19970728	0.45
19970729	0.66
19970730	0.62
19970731	0.76
19970801	0.59
19970802	0.53
19970803	0.66
19970804	0.65
19970805	0.38
19970806	0.58
19970807	0.66
19970808	0.67
19970809	0.69
19970810	0.69
19970811	0.53
19970812	0.67
19970813	1.00
19970814	0.67
19970815	0.72
19970816	0.69
19970817	0.58
19970818	0.54
19970819	0.61
19970820	0.67
19970821	0.53
19970822	0.53
19970823	0.55
19970824	0.49
19970825	0.51
19970826	0.61
19970827	0.60
19970828	0.49
19970829	0.56
19970830	0.59
19970831	0.67
19970901	0.70
19970902	0.54
19970903	0.58
19970904	0.57
19970905	0.74
19970906	0.49
19970907	0.63
19970908	0.00
19970909	0.22
19970910	0.91
19970911	0.21
19970912	0.16
19970913	0.08
19970914	0.04
19970915	0.32
19970916	0.46
19970917	0.47
19970918	0.35
19970919	0.36
19970920	0.24
19970921	0.42
19970922	0.49
19970923	0.31
19970924	0.28
19970925	0.06
19970926	0.16
19970927	0.22
19970928	0.07
19970929	0.08
19970930	0.21
19971001	0.08
19971002	0.10
19971003	0.06
19971004	0.07
19971005	0.06
19971006	0.29
19971007	0.10
19971008	0.21
19971009	0.19
19971010	0.22
19971011	0.11
19971012	0.14
19971013	0.09
19971014	0.22
19971015	0.17
19971016	0.09
19971017	0.06
19971018	0.03
19971019	0.22
19971020	0.15
19971021	0.20
19971022	0.38
19971023	0.11
19971024	0.28
19971025	0.09
19971026	0.09
19971027	0.26
19971028	0.60
19971029	0.43
19971030	0.24
19971031	0.33
19971101	0.38
19971102	0.78
19971103	0.99
19971104	0.72
19971105	0.85
19971106	0.31
19971107	0.10
19971108	0.33
19971109	0.58
19971110	0.11
19971111	0.12
19971112	0.22
19971113	0.12
19971114	0.06
19971115	0.10
19971116	0.15
19971117	0.17
19971118	0.07
19971119	0.10
19971120	0.18
19971121	0.15
19971122	0.15
19971123	0.12
19971124	0.24
19971125	0.35
19971126	0.56
19971127	0.67
19971128	0.66
19971129	0.41
19971130	0.61
19971201	0.58
19971202	0.62
19971203	0.28
19971204	0.00
19971205	0.00
19971206	0.00
19971207	0.00
19971208	0.00
19971209	0.00
19971210	0.00
19971211	0.00
19971212	0.00
19971213	0.00
19971214	0.00
19971215	0.00
19971216	0.00
19971217	0.00
19971218	0.00
19971219	0.00
19971220	0.00
19971221	0.00
19971222	0.00
19971223	0.00
19971224	0.00
19971225	0.00
19971226	0.00
19971227	0.00
19971228	0.00
19971229	0.00
19971230	0.00
19971231	0.00
19980101	0.00
19980102	0.04
19980103	0.29
19980104	0.01
19980105	0.54
19980106	0.56
19980107	0.57
19980108	0.67
19980109	0.53
19980110	0.40
19980111	0.49
19980112	0.42
19980113	0.35
19980114	0.24
19980115	0.32
19980116	0.41
19980117	0.25
19980118	0.28
19980119	0.38
19980120	0.75
19980121	0.63
19980122	0.28
19980123	0.69
19980124	0.91
19980125	0.38
19980126	0.44
19980127	0.30
19980128	0.49
19980129	0.49
19980130	0.53
19980131	0.69
19980201	0.53
19980202	0.47
19980203	0.60
19980204	0.92
19980205	0.89
19980206	0.81
19980207	0.56
19980208	0.76
19980209	0.71
19980210	0.85
19980211	0.90
19980212	0.94
19980213	0.56
19980214	0.54
19980215	0.42
19980216	0.45
19980217	0.44
19980218	0.38
19980219	0.38
19980220	0.28
19980221	0.47
19980222	0.29
19980223	0.33
19980224	0.35
19980225	0.36
19980226	0.51
19980227	0.97
19980228	1.00
19980301	0.51
19980302	0.26
19980303	0.12
19980304	0.15
19980305	0.15
19980306	0.11
19980307	0.20
19980308	0.17
19980309	0.23
19980310	0.17
19980311	0.07
19980312	0.07
19980313	0.17
19980314	0.11
19980315	0.13
19980316	0.05
19980317	0.15
19980318	0.10
19980319	0.24
19980320	0.28
19980321	0.27
19980322	0.24
19980323	0.22
19980324	0.24
19980325	0.10
19980326	0.12
19980327	0.15
19980328	0.10
19980329	0.07
19980330	0.11
19980331	0.04
19980401	0.04
19980402	0.08
19980403	0.09
19980404	0.08
19980405	0.08
19980406	0.03
19980407	0.08
19980408	0.06
19980409	0.10
19980410	0.10
19980411	0.19
19980412	0.09
19980413	0.12
19980414	0.08
19980415	0.22
19980416	0.17
19980417	0.19
19980418	0.06
19980419	0.10
19980420	0.13
19980421	0.10
19980422	0.03
19980423	0.03
19980424	0.15
19980425	0.06
19980426	0.08
19980427	0.10
19980428	0.10
19980429	0.08
19980430	0.08
19980501	0.15
19980502	0.10
19980503	0.14
19980504	0.08
19980505	0.10
19980506	0.07
19980507	0.05
19980508	0.12
19980509	0.03
19980510	0.08
19980511	0.13
19980512	0.07
19980513	0.04
19980514	0.04
19980515	0.07
19980516	0.16
19980517	0.08
19980518	0.07
19980519	0.08
19980520	0.10
19980521	0.05
19980522	0.06
19980523	0.15
19980524	0.17
19980525	0.06
19980526	0.19
19980527	0.17
19980528	0.16
19980529	0.09
19980530	0.19
19980531	0.07
19980601	0.13
19980602	0.08
19980603	0.12
19980604	0.11
19980605	0.10
19980606	0.08
19980607	0.07
19980608	0.12
19980609	0.09
19980610	0.18
19980611	0.03
19980612	0.08
19980613	0.06
19980614	0.10
19980615	0.17
19980616	0.17
19980617	0.08
19980618	0.17
19980619	0.22
19980620	0.35
19980621	0.44
19980622	0.28
19980623	0.10
19980624	0.08
19980625	0.22
19980626	0.20
19980627	0.22
19980628	0.17
19980629	0.08
19980630	0.13
19980701	0.17
19980702	0.14
19980703	0.38
19980704	0.30
19980705	0.26
19980706	0.19
19980707	0.19
19980708	0.29
19980709	0.38
19980710	0.17
19980711	0.10
19980712	0.12
19980713	0.15
19980714	0.13
19980715	0.09
19980716	0.10
19980717	0.11
19980718	0.15
19980719	0.24
19980720	0.17
19980721	0.22
19980722	0.12
19980723	0.17
19980724	0.17
19980725	0.35
19980726	0.18
19980727	0.15
19980728	0.06
19980729	0.16
19980730	0.08
19980731	0.08
19980801	0.15
19980802	0.10
19980803	0.13
19980804	0.14
19980805	0.24
19980806	0.06
19980807	0.11
19980808	0.17
19980809	0.12
19980810	0.13
19980811	0.14
19980812	0.18
19980813	0.27
19980814	0.20
19980815	0.15
19980816	0.21
19980817	0.10
19980818	0.07
19980819	0.15
19980820	0.12
19980821	0.10
19980822	0.17
19980823	0.22
19980824	0.30
19980825	0.11
19980826	0.16
19980827	0.08
19980828	0.04
19980829	0.10
19980830	0.12
19980831	0.08
19980901	0.12
19980902	0.11
19980903	0.15
19980904	0.16
19980905	0.07
19980906	0.05
19980907	0.15
19980908	0.10
19980909	0.16
19980910	0.10
19980911	0.08
19980912	0.12
19980913	0.12
19980914	0.12
19980915	0.08
19980916	0.06
19980917	0.08
19980918	0.10
19980919	0.00
19980920	0.00
19980921	0.00
19980922	0.00
19980923	0.01
19980924	0.00
19980925	0.00
19980926	0.00
19980927	0.00
19980928	0.00
19980929	0.00
19980930	0.00
19981001	0.00
19981002	0.00
19981003	0.00
19981004	0.00
19981005	0.01
19981006	0.00
19981007	0.00
19981008	0.01
19981009	0.00
19981010	0.00
19981011	0.00
19981012	0.00
19981013	0.00
19981014	0.00
19981015	0.00
19981016	0.00
19981017	0.00
19981018	0.00
19981019	0.00
19981020	0.00
19981021	0.00
19981022	0.00
19981023	0.00
19981024	0.00
19981025	0.00
19981026	0.00
19981027	0.00
19981028	0.00
19981029	0.00
19981030	0.00
19981031	0.00
19981101	0.00
19981102	0.00
19981103	0.00
19981104	0.00
19981105	0.01
19981106	0.00
19981107	0.00
19981108	0.00
19981109	0.00
19981110	0.00
19981111	0.00
19981112	0.00
19981113	0.00
19981114	0.00
19981115	0.00
19981116	0.00
19981117	0.00
19981118	0.00
19981119	0.00
19981120	0.00
19981121	0.00
19981122	0.00
19981123	0.00
19981124	0.00
19981125	0.00
19981126	0.00
19981127	0.00
19981128	0.00
19981129	0.35
19981130	0.42
19981201	0.29
19981202	0.31
19981203	0.42
19981204	0.42
19981205	0.44
19981206	0.23
19981207	0.35
19981208	0.38
19981209	0.42
19981210	0.28
19981211	0.49
19981212	0.95
19981213	0.84
19981214	0.76
19981215	0.93
19981216	1.00
19981217	1.00
19981218	1.00
19981219	0.99
19981220	0.24
19981221	0.35
19981222	0.93
19981223	1.00
19981224	0.98
19981225	0.99
19981226	0.99
19981227	0.92
19981228	0.91
19981229	0.98
19981230	0.96
19981231	0.94
19990101	0.98
19990102	0.91
19990103	1.00
19990104	0.99
19990105	0.97
19990106	0.94
19990107	0.85
19990108	0.94
19990109	0.96
19990110	0.97
19990111	0.86
19990112	0.90
19990113	0.96
19990114	0.75
19990115	0.99
19990116	0.99
19990117	0.97
19990118	0.99
19990119	0.99
19990120	1.00
19990121	0.94
19990122	0.90
19990123	1.00
19990124	0.97
19990125	0.97
19990126	0.94
19990127	0.67
19990128	0.76
19990129	0.93
19990130	0.76
19990131	0.65
19990201	0.26
19990202	0.83
19990203	0.97
19990204	0.92
19990205	0.77
19990206	0.44
19990207	0.58
19990208	1.00
19990209	0.88
19990210	0.92
19990211	0.99
19990212	0.97
19990213	0.97
19990214	0.91
19990215	0.31
19990216	0.68
19990217	0.86
19990218	0.94
19990219	0.97
19990220	0.69
19990221	0.51
19990222	0.93
19990223	0.90
19990224	0.81
19990225	0.97
19990226	0.97
19990227	0.66
19990228	0.51
19990301	0.76
19990302	0.92
19990303	0.99
19990304	0.94
19990305	0.79
19990306	0.68
19990307	0.79
19990308	0.84
19990309	0.54
19990310	0.74
19990311	0.86
19990312	0.87
19990313	0.01
19990314	0.00
19990315	0.00
19990316	0.01
19990317	0.03
19990318	0.12
19990319	0.72
19990320	0.71
19990321	0.38
19990322	0.62
19990323	0.66
19990324	0.58
19990325	0.52
19990326	0.79
19990327	0.65
19990328	0.59
19990329	0.52
19990330	0.58
19990331	0.45
19990401	0.56
19990402	0.59
19990403	0.67
19990404	0.14
19990405	0.32
19990406	0.06
19990407	0.03
19990408	0.30
19990409	0.80
19990410	0.56
19990411	0.33
19990412	0.41
19990413	0.43
19990414	0.28
19990415	0.35
19990416	0.57
19990417	0.67
19990418	0.62
19990419	0.67
19990420	0.62
19990421	0.65
19990422	0.67
19990423	0.46
19990424	0.41
19990425	0.28
19990426	0.23
19990427	0.45
19990428	0.39
19990429	0.41
19990430	0.26
19990501	0.24
19990502	0.35
19990503	0.51
19990504	0.27
19990505	0.22
19990506	0.26
19990507	0.29
19990508	0.27
19990509	0.27
19990510	0.26
19990511	0.17
19990512	0.26
19990513	0.26
19990514	0.36
19990515	0.84
19990516	0.34
19990517	0.22
19990518	0.23
19990519	0.33
19990520	0.41
19990521	0.35
19990522	0.88
19990523	0.56
19990524	0.72
19990525	0.36
19990526	0.47
19990527	0.31
19990528	0.35
19990529	0.29
19990530	0.26
19990531	0.26
19990601	0.27
19990602	0.31
19990603	0.24
19990604	0.18
19990605	0.32
19990606	0.49
19990607	0.28
19990608	0.30
19990609	0.25
19990610	0.36
19990611	0.26
19990612	0.41
19990613	0.58
19990614	0.43
19990615	0.32
19990616	0.27
19990617	0.53
19990618	0.39
19990619	0.46
19990620	0.62
19990621	0.63
19990622	0.47
19990623	0.65
19990624	0.43
19990625	0.53
19990626	0.44
19990627	0.53
19990628	0.45
19990629	0.35
19990630	0.49
19990701	0.49
19990702	0.48
19990703	0.55
19990704	0.43
19990705	0.21
19990706	0.42
19990707	0.34
19990708	0.49
19990709	0.21
19990710	0.40
19990711	0.41
19990712	0.34
19990713	0.40
19990714	0.35
19990715	0.38
19990716	0.38
19990717	0.44
19990718	0.36
19990719	0.34
19990720	0.51
19990721	0.12
19990722	0.39
19990723	0.46
19990724	0.40
19990725	0.24
19990726	0.41
19990727	0.35
19990728	0.39
19990729	0.18
19990730	0.31
19990731	0.36
19990801	0.19
19990802	0.22
19990803	0.22
19990804	0.24
19990805	0.19
19990806	0.38
19990807	0.31
19990808	0.38
19990809	0.13
19990810	0.26
19990811	0.17
19990812	0.16
19990813	0.18
19990814	0.31
19990815	0.46
19990816	0.34
19990817	0.18
19990818	0.25
19990819	0.28
19990820	0.31
19990821	0.16
19990822	0.33
19990823	0.50
19990824	0.22
19990825	0.26
19990826	0.36
19990827	0.22
19990828	0.12
19990829	0.21
19990830	0.13
19990831	0.31
19990901	0.27
19990902	0.10
19990903	0.17
19990904	0.69
19990905	0.78
19990906	0.89
19990907	0.53
19990908	0.76
19990909	0.87
19990910	0.47
19990911	0.96
19990912	1.00
19990913	0.88
19990914	0.88
19990915	0.79
19990916	0.96
19990917	0.79
19990918	0.47
19990919	0.00
19990920	0.00
19990921	0.00
19990922	0.00
19990923	0.00
19990924	0.00
19990925	0.00
19990926	0.00
19990927	0.00
19990928	0.00
19990929	0.00
19990930	0.00
19991001	0.00
19991002	0.08
19991003	0.17
19991004	0.10
19991005	0.07
19991006	0.04
19991007	0.06
19991008	0.08
19991009	0.10
19991010	0.03
19991011	0.06
19991012	0.11
19991013	0.20
19991014	0.06
19991015	0.14
19991016	0.18
19991017	0.07
19991018	0.14
19991019	0.23
19991020	0.14
19991021	0.24
19991022	0.24
19991023	0.25
19991024	0.24
19991025	0.20
19991026	0.51
19991027	0.35
19991028	0.44
19991029	0.15
19991030	0.15
19991031	0.14
19991101	0.07
19991102	0.51
19991103	0.46
19991104	0.34
19991105	0.42
19991106	0.49
19991107	0.66
19991108	0.52
19991109	0.17
19991110	0.10
19991111	0.28
19991112	0.11
19991113	0.20
19991114	0.10
19991115	0.11
19991116	0.10
19991117	0.15
19991118	0.30
19991119	0.26
19991120	0.16
19991121	0.37
19991122	0.12
19991123	0.39
19991124	0.26
19991125	0.26
19991126	0.21
19991127	0.22
19991128	0.20
19991129	0.17
19991130	0.30
19991201	0.01
19991202	0.21
19991203	0.44
19991204	0.27
19991205	0.46
19991206	0.47
19991207	0.47
19991208	0.14
19991209	0.08
19991210	0.06
19991211	0.12
19991212	0.10
19991213	0.24
19991214	0.13
19991215	0.25
19991216	0.49
19991217	0.24
19991218	0.54
19991219	0.44
19991220	0.30
19991221	0.40
19991222	0.49
19991223	0.42
19991224	0.15
19991225	0.31
19991226	0.41
19991227	0.24
19991228	0.73
19991229	0.73
19991230	0.68
19991231	0.38
20000101	0.40
20000102	0.30
20000103	0.32
20000104	0.49
20000105	0.66
20000106	0.52
20000107	0.36
20000108	0.36
20000109	0.53
20000110	0.41
20000111	0.38
20000112	0.26
20000113	0.26
20000114	0.42
20000115	0.25
20000116	0.29
20000117	0.61
20000118	0.53
20000119	0.52
20000120	0.98
20000121	0.27
20000122	0.50
20000123	0.49
20000124	0.60
20000125	0.28
20000126	0.22
20000127	0.20
20000128	0.31
20000129	0.29
20000130	0.28
20000131	0.25
20000201	0.38
20000202	0.32
20000203	0.24
20000204	0.32
20000205	0.59
20000206	0.38
20000207	0.22
20000208	0.36
20000209	0.19
20000210	0.37
20000211	0.24
20000212	0.25
20000213	0.29
20000214	0.22
20000215	0.32
20000216	0.13
20000217	0.27
20000218	0.01
20000219	0.01
20000220	0.01
20000221	0.06
20000222	0.69
20000223	0.39
20000224	0.36
20000225	0.26
20000226	0.21
20000227	0.42
20000228	0.36
20000229	0.42
20000301	0.47
20000302	0.56
20000303	0.41
20000304	0.58
20000305	0.43
20000306	0.36
20000307	0.41
20000308	0.33
20000309	0.21
20000310	0.62
20000311	0.88
20000312	0.94
20000313	0.99
20000314	0.98
20000315	0.99
20000316	0.97
20000317	0.46
20000318	1.00
20000319	0.99
20000320	0.75
20000321	0.30
20000322	0.22
20000323	0.15
20000324	0.28
20000325	0.33
20000326	0.39
20000327	0.86
20000328	0.95
20000329	0.98
20000330	0.76
20000331	0.99
20000401	0.74
20000402	0.15
20000403	0.15
20000404	0.37
20000405	0.44
20000406	0.93
20000407	1.00
20000408	0.99
20000409	1.00
20000410	1.00
20000411	0.98
20000412	0.96
20000413	1.00
20000414	0.99
20000415	0.99
20000416	0.94
20000417	0.93
20000418	0.99
20000419	0.99
20000420	0.94
20000421	0.62
20000422	1.00
20000423	0.99
20000424	0.99
20000425	1.00
20000426	0.51
20000427	0.99
20000428	1.00
20000429	0.99
20000430	1.00
20000501	0.97
20000502	0.92
20000503	0.99
20000504	0.99
20000505	0.85
20000506	0.80
20000507	0.31
20000508	0.17
20000509	0.55
